,genes,Tech,organ,cell_type,regulate,logFC,FDR
558,Agrn,ST,Kidney,Distal_Conv_Epi,Up,1.13585638659706,0.0314080595795436
559,Cd24a,ST,Kidney,Distal_Conv_Epi,Up,0.910276810831854,0.034936688181294
560,Timp2,ST,Kidney,Distal_Conv_Epi,Up,0.966505068063114,0.0372614845019962
561,Slc6a18,ST,Kidney,Distal_Conv_Epi,Up,1.27342285889217,0.0407884331813497
562,C1qb,ST,Kidney,Distal_Conv_Epi,Up,1.41820905682735,0.0462362252048732
563,Car3,ST,Kidney,Fibroblast,Down,-2.39204832647932,0.0040644854901201
564,Fabp4,ST,Kidney,Fibroblast,Down,-2.27251252080117,0.0045212498942578
565,Hba-a2,ST,Kidney,Fibroblast,Down,-1.49251684733344,0.0078759348858356
566,Dbi,ST,Kidney,Fibroblast,Down,-1.41357607389597,0.015359206541636
567,Hba-a1,ST,Kidney,Fibroblast,Down,-1.41763525201819,0.0171758516905288
568,Scd1,ST,Kidney,Fibroblast,Down,-1.99047658482993,0.0226029135411162
569,Cfh,ST,Kidney,Fibroblast,Up,1.18099805590309,0.0290519561966485
570,Fmc1,ST,Kidney,Fibroblast,Down,-1.38447853701645,0.0399250604731218
571,Aqp2,ST,Kidney,Fibroblast,Up,1.27684125075308,0.0400605716830271
572,Tkt,ST,Kidney,Fibroblast,Down,-1.22974462498477,0.0435745333364061
573,Atp1a1,ST,Kidney,Fibroblast,Up,1.11052148147284,0.0469962159177938
574,Cox6b1,ST,Kidney,Messangial_cells,Down,-1.0424143875022,0.0418458787765813
575,Lcn2,ST,Kidney,Podocytes,Up,4.55256082019655,8.77577551077225e-09
576,Ugt2b38,ST,Kidney,Podocytes,Down,-3.89284605986567,1.30559442906295e-08
577,Akr1c21,ST,Kidney,Podocytes,Down,-2.81220956305276,5.88119469636993e-07
578,Enpp6,ST,Kidney,Podocytes,Down,-1.73329763980591,7.73968860619019e-07
579,Slc22a28,ST,Kidney,Podocytes,Down,-3.16384259105193,1.30650569880521e-06
580,Nat8f6,ST,Kidney,Podocytes,Down,-3.53987374674937,4.07258696166909e-06
581,Hebp1,ST,Kidney,Podocytes,Down,-1.19423770456484,7.89719927880449e-06
582,Hdc,ST,Kidney,Podocytes,Up,1.89396407870101,1.06642606305031e-05
583,Slc2a2,ST,Kidney,Podocytes,Down,-1.5571764717667,1.06642606305031e-05
584,Fabp7,ST,Kidney,Podocytes,Down,-2.1250238172597,1.18050966069137e-05
585,D630023F18Rik,ST,Kidney,Podocytes,Down,-1.60003089321463,1.18050966069137e-05
586,Hacl1,ST,Kidney,Podocytes,Down,-1.4394561322962,1.26675491876272e-05
587,Stab1,ST,Kidney,Podocytes,Up,1.32456357242285,1.56996957704305e-05
588,Cndp1,ST,Kidney,Podocytes,Down,-1.43856428550009,1.86609696406906e-05
589,C3,ST,Kidney,Podocytes,Up,1.6009411457326,2.2317655789807e-05
590,Dleu7,ST,Kidney,Podocytes,Down,-2.57976123720119,2.63744054966112e-05
591,Cmbl,ST,Kidney,Podocytes,Down,-1.42301300289131,2.85685052389186e-05
592,Camk2b,ST,Kidney,Podocytes,Up,1.78551772477281,3.57597801653967e-05
593,Fam107b,ST,Kidney,Podocytes,Down,-1.07193716960575,3.6896996513621e-05
594,Osmr,ST,Kidney,Podocytes,Up,1.31643666721106,4.00562817313117e-05
595,Aebp1,ST,Kidney,Podocytes,Up,0.952579398442043,4.05570907590153e-05
596,Cyth4,ST,Kidney,Podocytes,Up,1.32329298507417,4.28759728874377e-05
597,Mxra7,ST,Kidney,Podocytes,Up,1.05077483854865,5.35103665956853e-05
598,Pah,ST,Kidney,Podocytes,Down,-2.06325255185271,5.38143287931393e-05
599,Lsp1,ST,Kidney,Podocytes,Up,1.06482380787899,5.5468736872659e-05
600,Idh1,ST,Kidney,Podocytes,Down,-1.73878282637413,5.92186926530499e-05
601,Aldh1a1,ST,Kidney,Podocytes,Up,1.2861770026608,6.2513723772643e-05
602,Laptm5,ST,Kidney,Podocytes,Up,1.60033396949032,6.28341095379437e-05
603,Slc22a22,ST,Kidney,Podocytes,Down,-2.14230951044429,6.28341095379437e-05
604,Stap2,ST,Kidney,Podocytes,Up,1.16909056326081,6.52316535290247e-05
605,1190007I07Rik,ST,Kidney,Podocytes,Down,-1.46151077532903,6.56057671225323e-05
606,Myo9b,ST,Kidney,Podocytes,Up,0.904399211423487,7.06389511777809e-05
607,Sucnr1,ST,Kidney,Podocytes,Down,-2.26214199956754,7.33713906514615e-05
608,Nox4,ST,Kidney,Podocytes,Down,-1.97934778794861,7.85308183781769e-05
609,Nat8f1,ST,Kidney,Podocytes,Down,-1.51888658370835,8.63186840667133e-05
610,Cers4,ST,Kidney,Podocytes,Up,1.39328894083091,8.85990811155598e-05
611,Gata2,ST,Kidney,Podocytes,Down,-1.19660049642946,9.14095435824305e-05
612,Tubb2b,ST,Kidney,Podocytes,Up,1.30804855717544,9.3915552974315e-05
613,Arhgdib,ST,Kidney,Podocytes,Up,1.11070025619904,9.56075525947419e-05
614,Naaladl2,ST,Kidney,Podocytes,Up,1.76597441219108,0.0001003688483832
615,Dnm1,ST,Kidney,Podocytes,Up,1.73103957903191,0.0001021475740565
616,Mogat2,ST,Kidney,Podocytes,Down,-3.06014199893409,0.0001021475740565
617,Ildr2,ST,Kidney,Podocytes,Down,-1.07467661621629,0.0001085526413028
618,Dhfr,ST,Kidney,Podocytes,Down,-0.857252514940286,0.0001085526413028
619,Il34,ST,Kidney,Podocytes,Up,1.17724098966442,0.0001120064293896
620,Cdkn1a,ST,Kidney,Podocytes,Up,1.0759653340002,0.0001290278568212
621,Cygb,ST,Kidney,Podocytes,Up,1.26950577859714,0.0001369781137788
622,Krt10,ST,Kidney,Podocytes,Down,-2.22940038645658,0.0001381532338276
623,Acsm2,ST,Kidney,Podocytes,Down,-1.74710019432907,0.000149376435937
624,Car14,ST,Kidney,Podocytes,Down,-1.9378127548537,0.0001523427790368
625,Nbl1,ST,Kidney,Podocytes,Up,0.988436447235839,0.0001526901698819
626,Acmsd,ST,Kidney,Podocytes,Down,-1.96690110956288,0.0001536072261923
627,Agrn,ST,Kidney,Podocytes,Up,0.823269192023532,0.0001536072261923
628,Bex4,ST,Kidney,Podocytes,Down,-1.68353764260949,0.0001695280918225
629,Gm44386,ST,Kidney,Podocytes,Down,-1.0858204737461,0.0001695280918225
630,C4b,ST,Kidney,Podocytes,Up,2.29450660522464,0.0001695280918225
631,Erlin1,ST,Kidney,Podocytes,Down,-1.06174347718221,0.000180752566922
632,C1qa,ST,Kidney,Podocytes,Up,1.36948990844668,0.0002107352554635
633,Alpl,ST,Kidney,Podocytes,Down,-1.63073255143287,0.000212043277184
634,Vsir,ST,Kidney,Podocytes,Up,1.04832259205258,0.0002204478068291
635,Car12,ST,Kidney,Podocytes,Down,-1.65153063964681,0.0002258868520794
636,AU020206,ST,Kidney,Podocytes,Up,1.08203228059352,0.0002370864121077
637,Pigr,ST,Kidney,Podocytes,Up,1.28630034719429,0.0002399740993442
638,Cryl1,ST,Kidney,Podocytes,Down,-1.24693216875625,0.0002458302735882
639,Kynu,ST,Kidney,Podocytes,Down,-1.64715629219453,0.0002734780479289
640,Cyfip2,ST,Kidney,Podocytes,Up,1.01124610823715,0.000281640976895
641,Ube2u,ST,Kidney,Podocytes,Down,-0.885994775252692,0.0002824926987289
642,Lig1,ST,Kidney,Podocytes,Up,1.24933607021109,0.0002824926987289
643,Folh1,ST,Kidney,Podocytes,Down,-1.92167454041289,0.0002900556171029
