,LR pairs,tech,organ,regulate,logFC,FDR
163,Lgals3bp-Itgb1,Visium,Brain,Up,0.582428318,0.006069989
164,Wnt7a-Frzb,Visium,Brain,Down,-0.732262901,0.006119646
165,Bmp4-Acvr2a,Visium,Brain,Down,-0.773319711,0.006324764
166,Adm-Ramp2,Visium,Brain,Up,0.615597952,0.006730134
167,Vip-Sctr,Visium,Brain,Down,-1.182098146,0.006751701
168,Nectin1-Nectin3,Visium,Brain,Down,-0.472702304,0.006877696
169,Nectin3-Nectin1,Visium,Brain,Down,-0.472702304,0.006877696
170,Tgfb1-Itgav,Visium,Brain,Up,0.473444185,0.007738872
171,Hmgb1-Tlr4,Visium,Brain,Up,0.620338771,0.008299301
172,Plat-Itgam,Visium,Brain,Up,0.604289894,0.008476009
173,Pf4-Fgfr2,Visium,Brain,Down,-0.64611772,0.008627127
174,Rspo3-Fzd8,Visium,Brain,Down,-0.683346946,0.008656406
175,Ccl2-Ackr1,Visium,Brain,Up,1.160348107,0.008951511
176,Selplg-Vsir,Visium,Brain,Up,0.471096371,0.008979613
177,Wnt9a-Sfrp1,Visium,Brain,Down,-0.638066874,0.009278065
178,Bmp2-Rgmb,Visium,Brain,Down,-0.53420732,0.009478863
179,Slit1-Sdc1,Visium,Brain,Down,-0.899735116,0.009880879
180,Ddc-Htr1a,Visium,Brain,Down,-1.013333915,0.010040919
181,Tnc-Itga9,Visium,Brain,Down,-0.727233181,0.010694198
182,Hsp90b1-Tlr4,Visium,Brain,Up,0.580565014,0.010890549
183,Wnt4-Frzb,Visium,Brain,Down,-0.747529526,0.010969174
184,Wnt5b-Frzb,Visium,Brain,Down,-0.632264714,0.01116881
185,Vegfa-Kdr,Visium,Brain,Up,0.458190857,0.01116881
186,Lgals9-Ighm,Visium,Brain,Up,0.624342829,0.011416117
187,Vtn-Plaur,Visium,Brain,Up,0.820530144,0.011483544
188,Ace-Bdkrb2,Visium,Brain,Up,1.020531786,0.011671335
189,Ccl5-Ackr1,Visium,Brain,Up,1.165977032,0.012398739
190,Fn1-Plaur,Visium,Brain,Up,0.778015027,0.012398739
191,Pecam1-Cd38,Visium,Brain,Down,-0.592041655,0.013514971
192,Cd38-Pecam1,Visium,Brain,Down,-0.592041655,0.013514971
193,Adam12-Itgb1,Visium,Brain,Down,-0.670251193,0.013688595
194,Bmp4-Bmpr1a,Visium,Brain,Down,-0.624778079,0.014006756
195,Shank3-Ret,Visium,Brain,Up,0.476833301,0.014989568
196,Wnt3-Wif1,Visium,Brain,Up,1.015896498,0.015774138
197,Col6a3-Cd44,Visium,Brain,Up,1.03887986,0.015774138
198,Vwf-Itga4,Visium,Brain,Up,0.689975007,0.016060089
199,Dagla-Cnr2,Visium,Brain,Up,1.166811592,0.016159055
200,Ins2-Insr,Visium,Brain,Down,-1.590613075,0.016187047
201,Ncam1-Robo3,Visium,Brain,Down,-0.455443608,0.016187047
202,Pf4-Sdc2,Visium,Brain,Down,-0.579647546,0.016775844
203,S100a1-Tlr4,Visium,Brain,Up,0.60268791,0.016813024
204,Angpt1-Itgb1,Visium,Brain,Up,0.470143502,0.017077151
205,Apoe-Ldlr,Visium,Brain,Up,0.405188612,0.017237016
206,Bmp2-Bmpr2,Visium,Brain,Down,-0.410683779,0.017260979
207,Vegfa-Sdc2,Visium,Brain,Up,0.372288365,0.017693457
208,Sema4d-Met,Visium,Brain,Down,-0.542860631,0.018094214
209,Fadd-Tnfrsf1a,Visium,Brain,Up,0.594169884,0.018094214
210,Apoe-Lrp5,Visium,Brain,Up,0.691430873,0.018094214
211,Col3a1-Ddr2,Visium,Brain,Down,-1.127273703,0.018564917
212,Slit2-Robo3,Visium,Brain,Down,-0.526484074,0.018820086
213,Spp1-Itga8,Visium,Brain,Up,0.714040084,0.019575078
214,Gdf10-Acvr1,Visium,Brain,Down,-0.453437228,0.019926791
215,Igf1-Itgav,Visium,Brain,Up,0.428872451,0.019926791
216,Esam-Esam,Visium,Brain,Down,-0.483324844,0.020533007
217,Col4a6-Itgb1,Visium,Brain,Up,0.849434439,0.020947408
218,Col6a3-Sdc4,Visium,Brain,Up,0.68687463,0.021150696
219,Fgf3-Fgfr2,Visium,Brain,Down,-0.871504539,0.021308108
220,Wnt2-Fzd5,Visium,Brain,Down,-0.812873728,0.021374564
221,Vwf-Itgb3,Visium,Brain,Up,0.765238591,0.021445467
222,Col3a1-Ddr1,Visium,Brain,Down,-0.75918694,0.022286231
223,Col5a2-Ddr1,Visium,Brain,Down,-0.783005874,0.022675899
224,Sema3f-Plxna3,Visium,Brain,Down,-0.508051391,0.022675899
225,Calm1-Kcnn4,Visium,Brain,Down,-0.671733174,0.023549535
226,Col3a1-Itgb1,Visium,Brain,Down,-0.744394362,0.023809491
227,Mfap5-Notch1,Visium,Brain,Down,-0.990733172,0.025494192
228,Ntn4-Unc5b,Visium,Brain,Up,0.567390574,0.025494192
229,Efna3-Epha1,Visium,Brain,Down,-1.259283145,0.02553447
230,Col4a1-Cd44,Visium,Brain,Up,0.589353866,0.025666726
231,Ntn4-Ntrk2,Visium,Brain,Up,0.473514797,0.026116407
232,Rspo2-Rnf43,Visium,Brain,Down,-0.661359137,0.026116407
233,Col11a1-Ddr1,Visium,Brain,Down,-0.506906035,0.026116407
234,Wnt5a-Sfrp4,Visium,Brain,Up,0.69573034,0.026302756
235,Lama5-Cd44,Visium,Brain,Up,0.773224463,0.02702913
236,Wnt3-Sfrp4,Visium,Brain,Up,0.940607128,0.028038858
237,Mia-Cdh7,Visium,Brain,Down,-0.739351226,0.028371046
238,Lamc2-Cd44,Visium,Brain,Up,0.587386483,0.028408504
239,Wnt3-Fzd3,Visium,Brain,Up,0.470079046,0.028420112
240,Cd55-Adgre5,Visium,Brain,Down,-0.553856716,0.028493518
241,Adgre5-Cd55,Visium,Brain,Down,-0.553856716,0.028493518
242,Col4a5-Cd44,Visium,Brain,Up,1.009538949,0.029202286
243,Wnt2-Fzd8,Visium,Brain,Down,-0.626229785,0.029771489
244,Efna1-Epha8,Visium,Brain,Down,-0.605958573,0.030571292
