,gene,tech,organ,regulate,logFC,FDR
3721,Oxct1,STomics,Kidney,Up,0.75059875999621,0.0012324396322972
3722,Hs6st3,STomics,Kidney,Up,1.7265616251112,0.001235442993515
3723,Lzts3,STomics,Kidney,Up,1.07113140440572,0.0012393336404316
3724,Fam20c,STomics,Kidney,Up,0.741702013441774,0.0012407896676857
3725,Hebp1,STomics,Kidney,Down,-1.10904530842341,0.0012407896676857
3726,Dclk2,STomics,Kidney,Up,0.980955042694715,0.0012485032162342
3727,Ifi203,STomics,Kidney,Down,-0.819000751439007,0.0012786979044155
3728,Abcf1,STomics,Kidney,Up,0.618990337467988,0.0012786979044155
3729,Nfs1,STomics,Kidney,Down,-0.981621833406481,0.0012786979044155
3730,Nat8f3,STomics,Kidney,Down,-1.54064391217403,0.0012961872810779
3731,Opcml,STomics,Kidney,Up,1.95940617293386,0.0012976365345221
3732,Tmem179b,STomics,Kidney,Down,-1.44750806260161,0.0013012666142282
3733,Dhfr,STomics,Kidney,Down,-1.0084057512988,0.0013212502807523
3734,Kifbp,STomics,Kidney,Down,-0.713416674932754,0.0013741963994429
3735,Csmd1,STomics,Kidney,Up,1.91884374407655,0.0013741963994429
3736,Slc6a18,STomics,Kidney,Up,1.14894777460008,0.0013741963994429
3737,Psph,STomics,Kidney,Down,-0.882740001172574,0.0013789624938599
3738,Ubfd1,STomics,Kidney,Down,-0.751610983983837,0.001379434305279
3739,H2ax,STomics,Kidney,Down,-1.16938542554195,0.0013797292705344
3740,Cystm1,STomics,Kidney,Down,-0.995786058491018,0.0013851392312657
3741,Ctso,STomics,Kidney,Down,-0.724661805706029,0.0013851392312657
3742,Rnaseh2b,STomics,Kidney,Down,-1.05547022534426,0.0014077034317993
3743,Vsir,STomics,Kidney,Up,0.904818335376215,0.0014077034317993
3744,Hspg2,STomics,Kidney,Up,0.775901907019936,0.0014077034317993
3745,Srsf9,STomics,Kidney,Up,0.783477915815937,0.001428048227322
3746,Slc22a22,STomics,Kidney,Down,-2.15115631064557,0.0014302858374959
3747,Aldh9a1,STomics,Kidney,Down,-1.26957000006196,0.0014302858374959
3748,Acta2,STomics,Kidney,Down,-0.802708252514284,0.0014302858374959
3749,Timm21,STomics,Kidney,Down,-0.931171917026719,0.0014336560196558
3750,Zbtb33,STomics,Kidney,Down,-0.759564824708804,0.0014775718596752
3751,Gm4117,STomics,Kidney,Up,3.66181290738652,0.0014821475062737
3752,Gas2,STomics,Kidney,Down,-1.13823392326915,0.0014821475062737
3753,Ppp1ca,STomics,Kidney,Up,0.686770003644308,0.0014867972514056
3754,Tmem258,STomics,Kidney,Down,-0.961476517706186,0.0014867972514056
3755,Ceacam2,STomics,Kidney,Up,0.928748372059466,0.0014867972514056
3756,Acsm2,STomics,Kidney,Down,-1.54220682048637,0.0015007210147475
3757,Plec,STomics,Kidney,Up,0.946118118951017,0.0015073420885207
3758,Aldh3a2,STomics,Kidney,Down,-1.02648787880945,0.0015073420885207
3759,Rexo4,STomics,Kidney,Up,0.611604795760813,0.0015073420885207
3760,Gm49387,STomics,Kidney,Down,-1.17971543377885,0.0015664777939014
3761,Il10rb,STomics,Kidney,Down,-0.629027622354064,0.001582835504526
3762,Kynu,STomics,Kidney,Down,-1.79215280400171,0.001582835504526
