"","Ligand.gene.symbol","Receptor.gene.symbol"
"487","Adm","Calcrl"
"488","Agt","Mas1"
"489","Anxa1","Fpr2"
"490","Anxa1","Fpr1"
"491","Apela","Aplnr"
"492","Calca","Calcr"
"493","Calca","Calcrl"
"494","Calcb","Calcr"
"495","Calcb","Calcrl"
"496","Crh","Crhr1"
"497","Crh","Crhr2"
"498","Enho","Gpr19"
"499","Gas6","Axl"
"500","Gas6","Mertk"
"501","Gas6","Tyro3"
"502","Gcg","Gcgr"
"503","Gcg","Glp1r"
"504","Gcg","Glp2r"
"505","Gh","Ghr"
"506","Gh","Prlr"
"507","Ghrh","Vipr1"
"508","Ghrh","Vipr2"
"509","Ghrh","Ghsr"
"510","Ghrh","Ghrhr"
"511","Gnrh1","Gnrhr"
"512","Grn","Sort1"
"513","Guca2a","Gucy2c"
"514","Guca2b","Gucy2c"
"515","Iapp","Calcr"
"516","Iapp","Calcrl"
"517","Insl3","Rxfp2"
"518","Insl3","Rxfp1"
"519","Insl3","Rxfp4"
"520","Insl3","Rxfp3"
"521","Insl5","Rxfp4"
"522","Insl5","Rxfp3"
"523","Insl5","Rxfp2"
"524","Insl5","Rxfp1"
"525","Lep","Lepr"
"526","Lgals9","Cd45"
"527","Lgals9","Ighm"
"528","Nps","Npsr1"
"529","Npvf","Npffr1"
"530","Npvf","Npffr2"
"531","Ostn","Npr3"
"532","Pmch","Mertk"
"533","Pros1","Axl"
"534","Pros1","Tyro3"
"535","Psap","Gpr37l1"
"536","Psap","Gpr37"
"537","Pth","Pth1r"
"538","Pth","Pth2r"
"539","Pth2","Pth1r"
"540","Pth2","Pth2r"
"541","Pthlh","Pth1r"
"542","Qrfp","Qrfpr"
"543","Rarres2","Gpr1"
"544","Rarres2","Cmklr1"
"545","Rln1","Rxfp2"
"546","Rln1","Rxfp1"
"547","Rln1","Rxfp3"
"548","Rln1","Rxfp4"
"549","Rln3","Rxfp3"
"550","Rln3","Rxfp1"
"551","Rln3","Rxfp4"
"552","Rln3","Rxfp2"
"553","Saa2","Fpr2"
"554","Scgb3a2","Marco"
"555","Sct","Sctr"
"556","Slurp1","Chrnb1"
"557","Slurp1","Chrnb2"
"558","Slurp1","Chrnb3"
"559","Slurp1","Chrnb4"
"560","Slurp1","Chrna1"
"561","Slurp1","Chrna2"
"562","Slurp1","Chrna3"
"563","Slurp1","Chrna4"
"564","Slurp1","Chrna5"
"565","Slurp1","Chrna6"
"566","Slurp1","Chrna9"
"567","Slurp1","Chrna10"
"568","Slurp1","Chrnd"
"569","Slurp1","Chrne"
"570","Slurp1","Chrng"
"571","Slurp1","Chrna7"
"572","Slurp2","Chrnb1"
"573","Slurp2","Chrnb2"
"574","Slurp2","Chrnb3"
"575","Slurp2","Chrnb4"
"576","Slurp2","Chrna1"
"577","Slurp2","Chrna2"
"578","Slurp2","Chrna3"
"579","Slurp2","Chrna4"
"580","Slurp2","Chrna5"
"581","Slurp2","Chrna6"
"582","Slurp2","Chrna7"
"583","Slurp2","Chrna9"
"584","Slurp2","Chrna10"
"585","Slurp2","Chrnd"
"586","Slurp2","Chrne"
"587","Slurp2","Chrng"
"588","Btla","Tnfrsf14"
"589","Trh","Trhr"
"590","Trh","Trhr2"
"591","Ucn","Crhr1"
"592","Ucn","Crhr2"
"593","Ucn2","Crhr1"
"594","Ucn2","Crhr2"
"595","Ucn3","Crhr1"
"596","Ucn3","Crhr2"
"597","Uts2b","Uts2r"
"598","Uts2b","Sstr5"
"599","Bag6","Ncr3-Ps"
"600","Lgals9","Havcr2"
"601","Lgals9","Cd44"
"602","Fn1","Cd44"
"603","Col1a1","Cd44"
"604","Col1a2","Cd44"
"605","Col2a1","Cd44"
"606","Col4a1","Cd44"
"607","Col4a2","Cd44"
"608","Col4a3","Cd44"
"609","Col4a4","Cd44"
"610","Col4a5","Cd44"
"611","Col4a6","Cd44"
"612","Col6a1","Cd44"
"613","Col6a2","Cd44"
"614","Col6a3","Cd44"
"615","Col6a4","Cd44"
"616","Col6a5","Cd44"
"617","Col6a6","Cd44"
"618","Col9a1","Cd44"
"619","Col9a2","Cd44"
"620","Col9a3","Cd44"
"621","Lama1","Cd44"
"622","Lama2","Cd44"
"623","Lama3","Cd44"
"624","Lama4","Cd44"
"625","Lama5","Cd44"
"626","Lamb1","Cd44"
"627","Lamb2","Cd44"
"628","Lamb3","Cd44"
"629","Lamc1","Cd44"
"630","Lamc2","Cd44"
"631","Lamc3","Cd44"
"632","Col1a1","Sdc1"
"633","Col1a2","Sdc1"
"634","Col2a1","Sdc1"
"635","Col4a1","Sdc1"
"636","Col4a2","Sdc1"
"637","Col4a3","Sdc1"
"638","Col4a4","Sdc1"
"639","Col4a5","Sdc1"
"640","Col4a6","Sdc1"
"641","Col6a1","Sdc1"
"642","Col6a2","Sdc1"
"643","Col6a3","Sdc1"
"644","Col6a4","Sdc1"
"645","Col6a5","Sdc1"
"646","Col6a6","Sdc1"
"647","Col9a1","Sdc1"
"648","Col9a2","Sdc1"
"649","Col9a3","Sdc1"
"650","Fn1","Sdc1"
"651","Tnc","Sdc1"
"652","Tnr","Sdc1"
"653","Tnn","Sdc1"
"654","Tnxb","Sdc1"
"655","Thbs1","Sdc1"
"656","Thbs2","Sdc1"
"657","Thbs3","Sdc1"
"658","Thbs4","Sdc1"
"659","Comp","Sdc1"
"660","Col1a1","Sdc4"
"661","Col1a2","Sdc4"
"662","Col2a1","Sdc4"
